Key	English	Russian
================================================================================
LineProperties	Line properties	
LineSmoothness	Line smoothness	
StrokeThickness	Stroke thickness	
FillingOpacity	Filling opacity	
ShowSafetyFactors	Show Safety Factors	
ShowPartialFactors	Show Partial Factors	
FiberCohesionProperties	Fiber Cohesion Properties	
MaterialCode	Material Code	
CodeShortName	Code short name:	
FullName	Full name:	
MaterialKind	Material Kind	
MaterialModel	Material Model	
ULSConcreteStrength	ULS Concrete Strength	
TotalLayersThickness	Total Layers Thickness	
GammaFFactor	GammaF2 Factor	
LibraryMaterial	Library material	
TensionForULS	Tension for ULS	
TensionForSLS	Tension for SLS	
RelativeHumidity	Relative humidity	
ElasticMaterial	Elastic material	
YoungSModulus	Young's modulus	
CompressiveStrength	Compressive strength	
TensileStrength	Tensile strength	
LimitState	Limit state	
Duration	Duration	
MomentMx	Moment Mx	
MomentMy	Moment My	
ForceNz	Force Nz	
Name	Name	
SetForceIntoInitialGravityCenter	Set force into initial Gravity Center	
CenterX	Center X	
CenterY	Center Y	
Logic	Logic	
Maximum	Maximum	
Minimum	Minimum	
ConstantValue	Constant value	
PointCount	Point count	
AddAll	Add all	
ClearAll	Clear all	
Str_8971	>>	
LtLt	&lt;&lt;	
SelectAll	Select All	
UnselectAll	Unselect All	
InvertSelection	Invert Selection	
Width	Width	
Height	Height	
Diameter	Diameter	
Take	Take	
Description	Description	
Name1	Name:	
MaterialName	Material Name:	
CenterX1	Center X:	
CenterY1	Center Y:	
Str_3967	Установить впереди всех	
Str_7228	Установить позади всех	
X	Координата X	
Y	Координата Y	
Str_2458	Высота	
Str_9165	Материал	
Str_5891	Цвет	
Str_3652	Прозрачность	
Str_3991	%	
Str_7004	Заблокировать объект	
Z	Z-порядок	
Max	Max =	
Width1	Width:	
Height1	Height:	
Area	Area:	
StartCombination	Start Combination	
FinishCombination	Finish Combination	
StepCount	Step count	
InterpolateCombinations	Interpolate Combinations	
ForceCombination	Force Combination	
FullServiceLoadCombination	Full service load combination	
Mx	Mx	
My	My	
Nz	Nz	
LongTermFactor	Long Term factor	
ULSSafetyFactor	ULS Safety Factor	
ForceCombinationByFactor	Force Combination By Factor	
Progress	Progress	
TotalStep	Total step	
CurrentStep	Current step	
Rebuild	Rebuild	
Print	Print	
TabGap	Tab gap	
MaxPriority	Max priority	
RebuildDocument	Rebuild document	
PrintDocument	Print document	
TraceDocumentViewer	Trace Document Viewer	
SetAutoPrestrain	Set Auto-prestrain	
Coefficient	Coefficient	
SetPrestrain	Set Prestrain	
UltimateLimitState	Ultimate Limit State	
